id,order_date,price
0,2016-09-04,72.89
1,2016-09-05,59.5
2,2016-09-15,134.97
3,2016-10-02,100.0
4,2016-10-03,463.48
5,2016-10-04,9940.960000000001
6,2016-10-05,8343.25
7,2016-10-06,7960.51
8,2016-10-07,7228.05
9,2016-10-08,8441.85
10,2016-10-09,3336.99
11,2016-10-10,3692.57
12,2016-12-23,10.9
13,2017-01-05,396.90000000000003
14,2017-01-06,916.38
15,2017-01-07,1351.9
16,2017-01-08,709.58
17,2017-01-09,673.79
18,2017-01-10,1434.87
19,2017-01-11,2776.16
20,2017-01-12,2234.58
21,2017-01-13,2505.58
22,2017-01-14,1112.69
23,2017-01-15,2199.57
24,2017-01-16,3307.92
25,2017-01-17,3302.5299999999997
26,2017-01-18,4032.36
27,2017-01-19,3553.9500000000003
28,2017-01-20,4035.83
29,2017-01-21,2458.6
30,2017-01-22,3619.27
31,2017-01-23,6581.47
32,2017-01-24,5955.17
33,2017-01-25,8977.23
34,2017-01-26,13157.66
35,2017-01-27,11432.95
36,2017-01-28,5211.01
37,2017-01-29,6457.66
38,2017-01-30,10801.13
39,2017-01-31,11116.130000000001
40,2017-02-01,8219.75
41,2017-02-02,8917.64
42,2017-02-03,10183.74
43,2017-02-04,13968.16
44,2017-02-05,8503.79
45,2017-02-06,9539.44
46,2017-02-07,14143.48
47,2017-02-08,11958.27
48,2017-02-09,9190.29
49,2017-02-10,14222.64
50,2017-02-11,4307.56
51,2017-02-12,15126.15
52,2017-02-13,10785.15
53,2017-02-14,12694.11
54,2017-02-15,6770.15
55,2017-02-16,6348.04
56,2017-02-17,6801.26
57,2017-02-18,7297.33
58,2017-02-19,3797.9
59,2017-02-20,7878.3
60,2017-02-21,8285.64
61,2017-02-22,8033.05
62,2017-02-23,6940.82
63,2017-02-24,6682.21
64,2017-02-25,4196.59
65,2017-02-26,5446.68
66,2017-02-27,5844.12
67,2017-02-28,11220.76
68,2017-03-01,12555.41
69,2017-03-02,11377.0
70,2017-03-03,12364.44
71,2017-03-04,12658.51
72,2017-03-05,6954.62
73,2017-03-06,10336.64
74,2017-03-07,11883.52
75,2017-03-08,14612.46
76,2017-03-09,11705.539999999999
77,2017-03-10,12358.87
78,2017-03-11,10852.97
79,2017-03-12,6612.16
80,2017-03-13,16958.05
81,2017-03-14,14243.66
82,2017-03-15,14999.33
83,2017-03-16,14269.78
84,2017-03-17,11970.4
85,2017-03-18,16433.82
86,2017-03-19,6649.34
87,2017-03-20,17096.489999999998
88,2017-03-21,11349.130000000001
89,2017-03-22,14188.97
90,2017-03-23,16375.55
91,2017-03-24,10177.87
92,2017-03-25,9423.04
93,2017-03-26,6320.95
94,2017-03-27,16356.97
95,2017-03-28,12373.11
96,2017-03-29,8660.54
97,2017-03-30,10025.6
98,2017-03-31,12199.56
99,2017-04-01,17697.37
100,2017-04-02,9129.88
101,2017-04-03,9156.76
102,2017-04-04,12301.65
103,2017-04-05,18902.94
104,2017-04-06,23168.89
105,2017-04-07,13300.65
106,2017-04-08,8785.09
107,2017-04-09,8222.65
108,2017-04-10,11732.31
109,2017-04-11,8296.51
110,2017-04-12,8209.2
111,2017-04-13,9691.43
112,2017-04-14,8168.66
113,2017-04-15,8333.94
114,2017-04-16,5455.96
115,2017-04-17,9416.67
116,2017-04-18,21286.72
117,2017-04-19,12103.46
118,2017-04-20,13373.14
119,2017-04-21,8457.71
120,2017-04-22,12860.18
121,2017-04-23,10038.95
122,2017-04-24,15150.03
123,2017-04-25,14671.74
124,2017-04-26,15919.75
125,2017-04-27,10300.710000000001
126,2017-04-28,15790.49
127,2017-04-29,11912.63
128,2017-04-30,8091.16
129,2017-05-01,12580.27
130,2017-05-02,17640.2
131,2017-05-03,10053.56
132,2017-05-04,13508.55
133,2017-05-05,13969.76
134,2017-05-06,16219.98
135,2017-05-07,17167.87
