,geolocation_zip_code_prefix,latitude,longitude
0,1037,-23.54562128115268,-46.63929204800168
3,1046,-23.54608112703553,-46.64482029837157
39,1041,-23.5443921648681,-46.63949930627844
41,1035,-23.541577961711493,-46.64160722329613
48,1012,-23.547762303364262,-46.63536053788448
50,1047,-23.54627311241268,-46.64122516971552
56,1013,-23.546923208436723,-46.6342636964915
59,1011,-23.547639550320632,-46.63603162315495
67,1032,-23.53841810407414,-46.634778375266734
69,1014,-23.546435343326205,-46.63383023397196
95,1024,-23.541389521053937,-46.62989908781218
97,1009,-23.54693540437998,-46.63658792659698
140,1020,-23.55223547100232,-46.6284406588955
151,1043,-23.546656718016017,-46.64078762115524
152,1050,-23.549773516504185,-46.64559900666509
159,1045,-23.541593762969622,-46.64189378810082
167,1007,-23.550392524842728,-46.63730164071784
175,1005,-23.549819091869107,-46.63560588995324
184,1017,-23.55001091199737,-46.63116636914989
205,1019,-23.552151883432384,-46.63080224715792
225,1027,-23.538301166801343,-46.63076391104508
238,1033,-23.54032130474925,-46.636394815973325
284,1006,-23.55052430835593,-46.63669363835193
298,1042,-23.54487359810152,-46.64030309449483
363,1026,-23.539494799586286,-46.63284391414975
373,1036,-23.541700023861782,-46.64131782056096
429,1048,-23.547448918662464,-46.64016924063704
470,1031,-23.536864121011018,-46.63349313820771
505,1022,-23.54498660505508,-46.63345367485142
506,1008,-23.54425493154535,-46.634639135589296
533,1003,-23.54903244546711,-46.63531311226845
639,1015,-23.544826346129778,-46.63086956396899
685,1038,-23.542679676299095,-46.63819683884986
694,1016,-23.54849512877264,-46.633490627676125
695,1049,-23.54530659310986,-46.636994571065735
702,1021,-23.54516769470249,-46.63224867958328
707,1044,-23.54575105023373,-46.64132693574358
945,1030,-23.538363904524203,-46.63293009824575
1288,1025,-23.539920936547933,-46.6283479287932
1289,1004,-23.550115903139226,-46.63512161420169
1399,1023,-23.54260295697964,-46.63094283625709
7225,1155,-23.52878808243405,-46.664404203300826
7229,1122,-23.531280767701485,-46.637260391482464
7236,1150,-23.532255303364263,-46.662756071469765
7241,1123,-23.529307180131543,-46.63490526351788
7253,1139,-23.52076037607479,-46.661384138207694
7258,1153,-23.52811869885744,-46.65645154579032
7266,1136,-23.52350959838998,-46.666944167638064
7283,1103,-23.53538864556528,-46.631747708436734
7289,1156,-23.5298272739339,-46.66466605744709
7305,1151,-23.527788191788307,-46.66030962184773
7329,1140,-23.517930174303164,-46.66742959008009
7335,1120,-23.53076048626577,-46.639216010416
7356,1106,-23.53249635607949,-46.62640566388715
7365,1124,-23.527367392723217,-46.63188348903572
7374,1131,-23.52164183207347,-46.64747554830047
7382,1121,-23.524588477378973,-46.634392141554585
7386,1141,-23.52011919677996,-46.66584000098096
7391,1125,-23.529050497085805,-46.63889432139766
7394,1102,-23.52261021648681,-46.62942387523806
7395,1127,-23.52773504025041,-46.64480016028046
7415,1137,-23.51957274271452,-46.654271565497176
7441,1135,-23.52122103136361,-46.65296293450282
7456,1138,-23.5188254074384,-46.65562359824576
7505,1132,-23.51929180460501,-46.64980089647412
7512,1108,-23.52375957536492,-46.6324154521322
7514,1107,-23.522004902014046,-46.63397365860703
7581,1154,-23.53158118373822,-46.66174681473255
7739,1152,-23.52916893282939,-46.65214846073055
7772,1134,-23.51867680707737,-46.6531159131789
7852,1144,-23.52362350735759,-46.67201579877662
7953,1129,-23.5259237463212,-46.642131776011375
7997,1105,-23.533744232586976,-46.63063486274458
15929,1202,-23.530243903687488,-46.65091042186511
15937,1230,-23.532734734664448,-46.654324449073776
15962,1221,-23.54601532944774,-46.64900196003804
15972,1217,-23.533844773241405,-46.64940663613022
15975,1243,-23.54946977906979,-46.65509829793992
15985,1203,-23.537119379681474,-46.64438743865777
15990,1214,-23.53569581346678,-46.64141313885349
15996,1257,-23.54507217346644,-46.68438057799065
16008,1231,-23.5367081559813,-46.6596418411045
16032,1216,-23.53597285667968,-46.651407002063245
16037,1226,-23.534478565641404,-46.65502761740432
16076,1220,-23.542757999999992,-46.64547398167813
16084,1223,-23.54377251788917,-46.6482729970858
16147,1213,-23.536400280050746,-46.64003758881069
16149,1227,-23.537290117980763,-46.65443089812821
16163,1240,-23.54378694284137,-46.65861209437926
16178,1258,-23.54499310130417,-46.685597180824026
16208,1222,-23.547159576461446,-46.64989460560333
16248,1211,-23.53582223582903,-46.651605049299015
16270,1244,-23.54499336358131,-46.65968022344037
16276,1238,-23.54195269441404,-46.65931762155928
16312,1204,-23.53680115237462,-46.644416271856414
16317,1234,-23.537055499855768,-46.66361722052618
16322,1228,-23.54839279655493,-46.659018341392965
16350,1224,-23.541718547319537,-46.64883066180968
16372,1229,-23.54108734139297,-46.65733920275257
16399,1232,-23.53676737440136,-46.65507313113856
16436,1218,-23.531544680824037,-46.65066866833055
16488,1215,-23.537982300854097,-46.64927618235323
16527,1239,-23.548781693029053,-46.65745981155857
16552,1205,-23.53176047100233,-46.64592571455356
16630,1201,-23.53435725950717,-46.64935629739165
16651,1259,-23.54335652677597,-46.683946373016354
16999,1210,-23.540860990564934,-46.64385528059898
17158,1248,-23.547307547319537,-46.66789155107045
17159,1233,-23.540299470713855,-46.66278360519932
17207,1219,-23.540223573951277,-46.645277138092126
17280,1235,-23.53645971856428,-46.66424678602334
17293,1209,-23.539446764643067,-46.639378335968615
17361,1206,-23.535535799324883,-46.64305202830518
17543,1207,-23.536840620318525,-46.640393035807016
17546,1251,-23.54700826311385,-46.67399273506846
17583,1242,-23.547526626983625,-46.65580327269316
17878,1241,-23.54567660866176,-46.6569934730798
18243,1208,-23.540822507357586,-46.6397147149576
18285,1254,-23.54196785483874,-46.68191419135562
18580,1255,-23.545782460730543,-46.68119826089217
19129,1225,-23.54064714772717,-46.648251782670506
19189,1252,-23.54173205190716,-46.67710841548848
20131,1237,-23.544317693577312,-46.66982279920932
20529,1250,-23.548106335564583,-46.67255083804609
23617,1246,-23.55259069386578,-46.6664048798257
33688,1253,-23.54320796973291,-46.680244701079125
37625,1256,-23.54856753595123,-46.683293049685474
62968,1303,-23.55001132944774,-46.64818240521669
62981,1309,-23.557323688585655,-46.65692890729416
62992,1310,-23.556926913670807,-46.6615417904381
63006,1323,-23.56360092810872,-46.64096891541434
63029,1321,-23.55896103857696,-46.64089188579832
63059,1333,-23.56356993894623,-46.65184216708981
63066,1314,-23.550271219805023,-46.641530430203645
63071,1331,-23.562327520947598,-46.6503277425703
63076,1307,-23.549360699694148,-46.65412441687346
63105,1318,-23.56503810268915,-46.64731633542034
63111,1322,-23.564189902302505,-46.64356963725542
63128,1308,-23.555182505135885,-46.65226234401868
63174,1306,-23.55433380183505,-46.64967363918865
63195,1301,-23.550812799901816,-46.65525802969017
63202,1302,-23.547650962519555,-46.64357747515727
63224,1312,-23.55364600943506,-46.64827785290551
63233,1319,-23.55156260866176,-46.64021297307979
63238,1316,-23.55298158090484,-46.63977389064573
63272,1317,-23.56281094772712,-46.64538049222014
63301,1313,-23.556513287803007,-46.65025319729151
63386,1324,-23.551359454065437,-46.64339075477531
63463,1327,-23.56521929669917,-46.6451517253736
63531,1304,-23.55217944962204,-46.652991998615015
63599,1332,-23.559874596168275,-46.65312715543304
63726,1326,-23.558908285042403,-46.64517207853889
63792,1315,-23.552592988343235,-46.64068338732753
63824,1325,-23.56040415015292,-46.64409070038665
63887,1329,-23.563145744936214,-46.64661879892085
63956,1330,-23.556817623925213,-46.64986083625707
64135,1311,-23.560566359426364,-46.65761042867444
64202,1305,-23.556083049685476,-46.658022684978974
64499,1320,-23.557337937272795,-46.63877749362335
65900,1328,-23.55542941271852,-46.64533779225576
112724,1402,-23.58406691212703,-46.66998067037748
112727,1421,-23.562331512897508,-46.66120425339033
112738,1403,-23.57034735804139,-46.65315099653755
112755,1409,-23.5613664276935,-46.657593869005645
112770,1411,-23.568546850380155,-46.66483313596545
112791,1452,-23.56883153079836,-46.69199439364803
112803,1423,-23.568918203156603,-46.656995139736914
112830,1417,-23.48850962531019,-46.714606281435714
112835,1408,-23.569438714409333,-46.66342129141903
112860,1455,-23.580690704974277,-46.68751888037395
112869,1401,-23.569747571977175,-46.65100357197719
112878,1410,-23.558595737434405,-46.65657075535223
112892,1453,-23.583435663338896,-46.68646270038665
112905,1415,-23.551840037191976,-46.65455309547579
113003,1416,-23.55951039494492,-46.66706390175425
113030,1445,-23.568346382739897,-46.68910543089613
113042,1424,-23.56816235942637,-46.66117892867444
113059,1422,-23.55978441771017,-46.6660792610364
113111,1419,-23.557767998615013,-46.662673347769605
113129,1414,-23.56362276547979,-46.667603824167614
113171,1420,-23.56851813765943,-46.65191532569683
113221,1451,-23.583489065785624,-46.68508055092622
113403,1406,-23.56582006549717,-46.65801073994457
113405,1454,-23.582148872612336,-46.68638063183105
113431,1426,-23.562597147293012,-46.66968807621716
113440,1413,-23.55863183097696,-46.66070142630853
113457,1433,-23.58188488758732,-46.66848679753589
113513,1427,-23.573515117952592,-46.66112293352187
113600,1405,-23.566964123780973,-46.65698270719597
113638,1435,-23.579681908967608,-46.66963177269314
113681,1449,-23.576292199001667,-46.68142310352587
113712,1425,-23.572330354982963,-46.66082327699232
113977,1430,-23.881629353829144,-46.643818799723405
113979,1404,-23.56994326977895,-46.657093704685806
114092,1442,-23.56370226740048,-46.67529085698279
114197,1407,-23.5784800999192,-46.67516750652087
114224,1418,-23.56312173510022,-46.656566708353616
114353,1443,-23.56750865000869,-46.68471805799536
114483,1434,-23.57791700859833,-46.66945260115993
114984,1457,-23.57883550069249,-46.69092820399332
115151,1412,-23.5644233366611,-46.66684085068379
115216,1448,-23.57741669608748,-46.67817482139765
115487,1456,-23.578504155433038,-46.690118296987634
115774,1432,-23.574420691644068,-46.66422198695826
117042,1429,-23.57524108520401,-46.66307398459231
117045,1450,-23.574925477927227,-46.68505199999999
117403,1440,-23.56448527782904,-46.674418610595005
118110,1438,-23.570325577009708,-46.67299258050082
119709,1444,-23.605675658895493,-46.74544468220901
120212,1447,-23.572517679150597,-46.680710766460734
122639,1431,-23.578166638380598,-46.66288281851213
